iter	Passed	Remaining
179	361	1647
180	362	1638
181	363	1631
182	364	1625
183	365	1619
184	366	1612
185	366	1606
186	368	1600
187	369	1595
188	370	1588
189	371	1582
190	372	1576
191	373	1571
192	374	1566
193	375	1560
194	376	1554
195	377	1549
196	378	1543
197	379	1537
198	380	1531
199	381	1526
200	382	1521
201	383	1516
202	384	1511
203	385	1505
204	386	1500
205	387	1495
206	388	1490
207	390	1485
208	390	1479
209	391	1474
210	392	1469
211	393	1464
212	395	1459
213	396	1456
214	397	1451
215	398	1447
216	399	1442
217	400	1437
218	401	1432
219	402	1427
220	403	1422
221	404	1417
222	405	1412
223	406	1407
224	407	1403
225	408	1398
226	409	1394
227	410	1390
228	411	1385
229	412	1381
230	413	1376
231	414	1372
232	415	1368
233	416	1364
234	417	1360
235	418	1355
236	419	1352
237	420	1347
238	421	1343
239	422	1338
240	423	1334
241	424	1330
242	425	1326
243	426	1322
244	427	1318
245	428	1314
246	429	1310
247	430	1305
248	431	1301
249	432	1297
250	433	1293
251	434	1288
252	435	1285
253	436	1281
254	437	1277
255	438	1273
256	439	1270
257	440	1266
258	441	1263
259	442	1259
260	443	1255
261	444	1252
262	445	1248
263	446	1245
264	447	1241
265	448	1238
266	449	1234
267	450	1231
268	451	1227
269	452	1223
270	453	1220
271	454	1216
272	455	1213
273	456	1209
274	457	1205
275	458	1202
276	459	1199
277	460	1195
278	461	1192
279	462	1188
280	463	1186
281	464	1183
282	465	1180
283	467	1177
284	468	1175
285	469	1171
286	470	1168
287	471	1165
288	472	1162
289	473	1159
290	474	1156
291	475	1152
292	476	1149
293	477	1146
294	478	1144
295	479	1141
296	480	1138
297	481	1135
298	483	1132
299	484	1129
300	485	1126
301	486	1123
302	487	1120
303	488	1117
304	489	1114
305	490	1111
306	491	1109
307	492	1106
308	493	1103
309	494	1100
310	495	1097
311	496	1094
312	497	1092
313	498	1089
314	499	1087
315	500	1084
316	502	1081
317	503	1079
318	504	1077
319	505	1074
320	506	1071
321	507	1069
322	508	1066
323	509	1063
324	510	1060
325	511	1057
326	512	1055
327	513	1052
328	515	1050
329	516	1047
330	517	1045
331	518	1042
332	519	1039
333	520	1037
334	521	1034
335	522	1031
336	523	1029
337	524	1027
338	525	1024
339	526	1021
340	527	1019
341	528	1017
342	529	1014
343	530	1012
344	531	1009
345	532	1007
346	533	1004
347	534	1002
348	535	999
349	536	996
350	537	994
351	538	991
352	539	989
353	540	987
354	541	984
355	543	982
356	544	980
357	545	978
358	546	975
359	547	973
360	548	970
361	549	968
362	550	965
363	551	963
364	552	960
365	553	959
366	554	956
367	555	954
368	556	952
369	558	950
370	559	947
371	560	945
372	560	943
373	561	940
374	562	938
375	564	936
376	564	933
377	566	932
378	567	930
379	569	928
380	569	926
381	571	923
382	571	921
383	572	919
384	573	916
385	574	914
386	575	911
387	576	909
388	577	906
389	578	904
390	579	902
391	580	900
392	581	898
393	582	895
394	583	893
395	584	891
396	585	888
397	586	886
398	587	884
399	588	882
400	589	879
401	589	877
402	590	875
403	591	872
404	592	870
405	593	868
406	594	866
407	595	864
408	596	862
409	597	860
410	599	858
411	599	856
412	600	853
413	601	851
414	602	849
415	603	847
416	604	845
417	605	843
418	606	841
419	607	839
420	609	837
421	610	835
422	610	833
423	611	831
424	613	829
425	614	827
426	614	825
427	615	822
428	616	820
429	617	818
430	618	816
431	619	814
432	620	812
433	621	810
434	622	808
435	623	806
436	624	804
437	625	802
438	626	800
439	627	798
440	628	796
441	628	794
442	629	791
443	630	789
444	631	787
445	632	785
446	633	783
447	634	782
448	635	780
449	636	778
450	637	776
451	639	774
452	639	772
453	640	770
454	641	768
455	642	766
456	643	764
457	644	762
458	645	760
459	646	758
460	647	756
461	648	754
462	649	753
463	650	751
464	651	749
465	652	747
466	653	745
467	654	743
468	655	741
469	655	739
470	656	737
471	657	735
472	658	733
